id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
JD,music,C,Exponential,0.403739114015484,0.7839556913374576,32.22926212629212,0.9223170634920637,0.016942980156473646
BF,money,F,Exponential,0.31187057082231334,0.9848819015467544,26.796524546918914,0.9357686363636362,0.0010181610910254251
AB,money,F,Exponential,0.32589534421573335,0.9960826919943433,26.458669278296327,0.78167041015625,0.0002618381161623683
BD,food,F,Exponential,0.3927715324559267,0.19177572795336542,30.665373243883522,0.8963650793650795,0.17284261876285673
SE,food,F,Exponential,0.37551376643757295,0.02679537532228743,31.160223461986256,0.8410203201970445,1.2445761002826348
BF,money,C,Exponential,0.23742595279957313,0.9821909611891225,20.284388892994123,0.9636365384615382,0.0012015779999193029
BF,music,C,Exponential,0.38515075387325715,0.9481522044226759,30.529913334336086,0.9023265050167222,0.0035814125582258535
CC,music,F,Exponential,0.32438275819544,0.3231594593979389,25.88634717923842,0.9351470588235296,0.0976355825765496
DG,money,F,Exponential,0.5354152844885944,0.7787649331216022,42.48365816284699,0.8506484375,0.01742729625148102
ER,music,C,Exponential,0.2699561136411873,0.9925917135733958,22.514599324379155,0.9354217980295569,0.0004963401588221683
LD,music,C,Exponential,0.32971226734595305,0.9548839635963506,27.719547373366805,0.9293342013888888,0.00310174721208519
CV,music,C,Exponential,0.5111565612889193,0.9586992267394724,39.99402828306178,0.8356038879598662,0.002831907233132139
BJ,money,F,Exponential,0.349617797087178,0.8578299062698651,27.930566248893264,0.9216457031249999,0.010498623775454298
MK,music,C,Exponential,0.3780861926843521,0.9348161612690105,30.4426879356564,0.9253913043478262,0.004545335125104275
LS,food,C,Exponential,0.3160422973996963,0.8820951419494966,25.132046925237834,0.9381022727272728,0.008546185297997812
